source,name,row,column,reason
main,메인해역용,2,1,not matched
main,하이덴 리우,7,26,not matched
main,만능 육각형,8,6,not matched
main,상위 대공 성능,8,22,not matched
main,보스 전용 탱커,12,28,not matched
main,연막탄 탱킹 보조,12,30,not matched
main,탱커 보조,12,36,not matched
main,탱커 2황,16,2,not matched
main,분신을 활용한 탱,16,16,not matched
main,분신을 통한 탱킹보조,16,38,not matched
main,탱커,18,26,not matched
main,클리블랜드 META,19,17,not matched
main,무난한 탱커,20,4,not matched
main,3번 자리 딜러,20,6,not matched
main,경장 방뢰요원,20,14,not matched
main,고성능 대체 탱커들,20,24,not matched
main,절약팟 멤버,22,8,not matched
main,대공,22,12,not matched
main,플레어,22,13,not matched
main,전체 힐,22,18,not matched
main,단일 힐,22,19,not matched
main,딸피 힐,22,22,not matched
main,탱 대공,22,23,not matched
main,실드,22,26,not matched
main,30초 실드,22,27,not matched
main,대공,24,2,not matched
main,3번 자리 딜러,24,4,not matched
main,3번 자리 딜러,24,6,not matched
main,경장 특화,24,8,not matched
main,무난하게 좋은 성능,24,12,not matched
main,3번 자리 딜러,24,34,not matched
main,레이더 탐지,24,36,not matched
main,18초 실드,26,24,not matched
main,탱커,26,26,not matched
main,무난한 딜,26,27,not matched
main,탱킹 보조,26,29,not matched
main,노시로 μ,27,20,not matched
main,뉴욜리언스,27,28,not matched
main,오이겐 μ,27,35,not matched
main,0.9 유다치,28,4,not matched
main,경장 특화,28,7,not matched
main,3번 자리 딜러,28,12,not matched
main,3번 자리 대공맨,28,18,not matched
main,3번 자리 딜러,28,32,not matched
main,3번 자리 딜러,28,34,not matched
main,공습 선도,28,40,not matched
main,어뢰 (생략함),30,40,not matched
main,렉싱턴2,38,6,not matched
main,쫄 보스 둘다 잘함,39,20,not matched
main,높은 공격력,39,26,not matched
main,다 빈치,42,39,not matched
main,제공권 GOAT,43,10,not matched
main,쫄 보스 둘다 잘함,43,24,not matched
main,쫄 보스 둘 다 잘함,43,30,not matched
main,원거리 지원,43,38,not matched
main,피해 감소,45,8,not matched
main,불사,45,9,not matched
main,글로리어스 META,46,12,not matched
main,요크타운 META,46,14,not matched
main,나가토 META,46,22,not matched
main,단기전 특화,47,12,not matched
main,반장전,47,18,not matched
main,준 최강 딜러,47,22,not matched
main,오와리 하위호환,47,26,not matched
main,무난한 쫄팟 성능,47,34,not matched
main,4공습,49,4,not matched
main,올라운더,49,5,not matched
main,밸런스,49,6,not matched
main,튼튼함,49,18,not matched
main,2 전투기,49,19,not matched
main,선장전,49,21,not matched
main,유미아 (콜라보),50,5,not matched
main,호넷 META,50,10,not matched
main,소량힐,51,4,not matched
main,보스팟 특화,51,28,not matched
main,빅 세븐 탄막,51,32,not matched
main,중장,53,9,not matched
main,20초 파갑,53,26,not matched
main,빅 세븐,53,32,not matched
main,일러스트리어스 μ,54,10,not matched
main,파르제팔,54,12,not matched
main,히류 META,54,14,not matched
main,히에이 META,54,24,not matched
main,폭격 범위딜,55,6,not matched
main,각종 유틸,55,10,not matched
main,경장갑 특화,55,22,not matched
main,부포 약함,55,24,not matched
main,보스 팟 특화,55,26,not matched
main,15-2 발사대,55,28,not matched
main,확정 발동 탄막,55,32,not matched
main,수동시 A,55,34,not matched
main,헤스티아,58,2,single matched name row
operation-siren,대작전용,2,1,not matched
operation-siren,만능 육각형,8,8,not matched
operation-siren,레이더 탐지,8,20,not matched
operation-siren,대 경장갑 필살기,8,24,not matched
operation-siren,하이덴 리우,11,38,not matched
operation-siren,위치타 META,15,42,not matched
operation-siren,최강 쫄팟 요원,16,34,not matched
operation-siren,보스 전용 탱커,16,36,not matched
operation-siren,유리대포 1황,16,42,not matched
operation-siren,포격 보조,18,26,not matched
operation-siren,힐 보조,18,27,not matched
operation-siren,블랙홀,18,35,not matched
operation-siren,키로프 META,19,23,not matched
operation-siren,헬레나 META,19,24,not matched
operation-siren,노시로 μ,19,32,not matched
operation-siren,탱커 2황,20,6,not matched
operation-siren,개전 공격 및 지원,20,22,not matched
operation-siren,딜 버프,20,24,not matched
operation-siren,철갑탄 공증 지원,20,28,not matched
operation-siren,확률적 명중 지원,20,30,not matched
operation-siren,불안정한 보조,20,34,not matched
operation-siren,존나 튼튼함,20,38,not matched
